3 -60 -80 -60 -60 -80 60 60 -80 60
1 60 -80 -40 -60 -80 -40
1 60 -80 -20 -60 -80 -20
1 60 -80 0 -60 -80 0
1 60 -80 20 -60 -80 20
1 60 -80 40 -60 -80 40
1 -40 -80 -60 -40 -80 60
1 -20 -80 -60 -20 -80 60
1 0 -80 -60 0 -80 60
1 20 -80 -60 20 -80 60
1 40 -80 -60 40 -80 60
3 -60 80 -60 -60 80 60 60 80 60
1 60 80 -40 -60 80 -40
1 60 80 -20 -60 80 -20
1 60 80 0 -60 80 0
1 60 80 20 -60 80 20
1 60 80 40 -60 80 40
1 -40 80 -60 -40 80 60
1 -20 80 -60 -20 80 60
1 0 80 -60 0 80 60
1 20 80 -60 20 80 60
1 40 80 -60 40 80 60
